Mon 24 Oct 2016				public holiday
Tue 25 Oct 2016	10.5	* lay out hoses for irrigator * clean bin A block * mow field * lock up (me A block)		late finish
Wed 26 Oct 2016	6.0	* push mowing * run irrigator * twice up on gym roof for balls * pull out stage with Adrian * replace missing screws on gym basketball hoops * repair window latches Home Ec * install venetian blinds in Home Ec * install latch room 1/2 * renew paper towels Home Ec and Tech * complete marking athletic track * lock up - me B block		
Thu 27 Oct 2016	6.0	* put away stage (with Adrian) * extra bins to field for sports day * cut and move back shelves in library foyer		9am start at Adrian's request. 3 hours at home to sew and repair library green stool
Fri 28 Oct 2016	6.0	* mop up mess in A block boys * replace U-bend in B block boys and clean up * replace T-join and repair downpipe 19/20 * install cabin hook to freezer in Home Ec * reset fuse Home Ec lighting * replace nylon bush on irrigator shaft (1 hr) * tidy Adrian's grass clippings * full rubbish round and common area bins * lock up - me B block	28.5	2 hours at home to repair vinyl on orange library stools
Mon 31 Oct 2016	6.0	* irrigator recondition * lock up (me A block)		2 hrs at home to weld and rebuild dog tip
Tue 1 Nov 2016	6.0	* repair u-bend B block boys and mop * continue recondition irrigator * common area bins * lock up (me B block) * change towels in Home Ec * clean pen ink from floor in Home Ec		Irrigator recondition:  * file to sharpen worn and burred teeth on 60 tooth cog (5 hrs)  * rebuild worn tip of top/push dog  * replace drum wheel bush  * replace bottom shaft bushes  * replace missing grease nipples  * change wheels to level (?)  * grease, run and tune  To do:  * replace bottom/hold dog bush (unavalible at the time)  * rebuild and shape bottom/hold dog tip
Wed 2 Nov 2016	6.0	* fire hose and extinguisher check * install handle gym boys changing * irrigator monitor first run after recondition - adjust * liased with Janise re invoicing procedure * clean boiler fins * cover posters pre exam rm 1 * lock up (me B block)		2 hrs at home researching manuals and emailing contacts for taking on new responsibilites.
Thu 3 Nov 2016	8.0	* remove rideon wheel to Baylis for puncture repair * relocate irrigator to main field * dismantle cricket practice fence * mow 45% field * pull out stage (with Adrian) * common area bins * lock up (me B block)		After work meeting with Gavin and Jon At home research ladder purchase online
Fri 4 Nov 2016	7.5	* install 3 timber posts at criket nets (3hrs) * full rubbish round * lock up (me B block) * tube and starter (flickering) room 4 * remove torn curtain room 5 * mow #2 field * sweep admin entrance * fix door panel room 17 * oil hinges room 2 * clean windows (outside) - staffroom, DP's and Donna's office	33.5	5:30 finish 2 hrs with Maria on Saturday tidying front gardens and staff carpark At home: repair stool and fabricate handle for art room
Mon 7 Nov 2016	7.0	* move and run irrigator * remove broken light fitting outside room 19 * assist TV mount on stage for prize giving * mount handle for printing press - art room * more chairs for exams * rubbish collection post leavers shenanigans * lock up - me B block * replace toilet roll holder A block girls * assist blocked vacumn for Trish		5pm finish
Tue 8 Nov 2016	6.0	* put away stage (with Adrian) * irrigator move and set * sweep around A block, staff and admin * installl new exterior light room 19 * continue repair of cricket practice nets * cover posters in lab A and B in prep for exams * finish mow main field * lock up (me B block) * change wall socket in music * assist Dawn with urinal (cleared cistern and check operation) - more attention required		9am start, 5pm finsh
Wed 9 Nov 2016	7.5	* set irrigator * continue cricket practice nets (3hrs) * repair fire point - library * clean blood B block boys toilet * sweep A block courtyard * full rubbish round * dismantle broken rear stage door slider * move display boards from gym to library * lock up - me B block		9:30 - 5pm
Thu 10 Nov 2016	8.0	* cleaner supplies * refill hand soap home ec. * set irrigator * asphalt potholes back driveway * sweep around workshop and elsewhere * repair, rehang, and ease sliders rear stage door * monitor gym boys urinal (malfunctioning) * clear stage props from reception to rear stage * maintain garden sprinklers * assist art room rubbish disposal * fabricate brackets and weld to complete cricket nets (2hrs) * lock up, rubbish and gates	36.0	9 - 5pm  Adrian simply took his last day off without a word.
Fri 11 Nov 2016				public holiday
Mon 14 Nov 2016	11.0	* open, towels x4 * clear plant decorations from stage * sweep carpark, admin, canteen, gym areas - 1hr * began to tidy caretakers shed - left in state by Adrian * contact Initial regarding sanitary bin * set irrigator * repair office lock * hook to art room ceiling * clean C block girls (vandalism) * clear drain outside gym (2hrs) * mow lawns around H block * consult with cleaner supplies representative * lock up		6am - 5pm  Began full time
Tue 15 Nov 2016	11.0	* open * check sanitary bin supply - count, move one to H block for year 8's * move irrigator to north end * clean and give good once over of ride-on (2hrs) * hi-vis paint ends of irrigator * lawns - inner lawns (1hr) * replace hand-soap dispenser - B block girls * fix Gavin's chair * fix Bernadettes vacuum * weed back entrance, B block courtyard * field mowing * lock up		6am - 6pm  1.5 hrs at home on computer communicating and ordering.
Wed 16 Nov 2016	11.5	* open, towels, toilet rolls C block girls * sweep front, health, canteen, 19/20 * repair cublicle locks, 1 each in A and B block girls * move a door closer from C block to A block - job book * clear rubbish from hall stage * replace missing shower curtain rings in gym boys changing * repair picnic table near canteen * set and run irrigator * asphalt patch outside health (hotmix from street contractors) * sprinklers * sweep drain north side tennis court * mow lawns - 1.5hrs * field mowing - 1.5 hrs * lock up/rubbish round		6pm - 6:30pm  And again time at home answering emails.
Thu 17 Nov 2016	11.0	* open * cleaner supplies * bulbs and tubes * clear overflowing gutters * repair lock for recording studio - 1hr * bit of B&E next door * repair gym door * organise cleaning products and continue tidy caretakers shed * lock up/rubbish		6am - 5pm  Very wet day, more relaxed, part of the day spent working on tidying and organising caretaker's workshop. Lot of help from Maria.
